ANO_ELEICAO;QT_APTOS;QT_ABSTENCOES;QT_VOTOS_NOMINAIS;QT_VOTOS_BRANCOS;QT_VOTOS_NULOS
2018;166913;29692;200105;23789;50548
2018;136341;26648;157881;20099;41406
2018;126025;24956;159119;14314;28705
2018;79220;15234;89758;13605;24609
2018;166913;29692;114591;7110;15520
2014;154858;25357;103139;11577;14785
2018;166918;30876;116590;5066;14386
2018;136341;26648;89433;6507;13753
2018;136350;27642;91153;4419;13136
2014;129334;22924;83821;10253;12336
2016;159760;29093;102772;7454;11177
2014;154858;25357;92369;11541;10336
2016;159760;29093;116479;4638;9550
2018;166913;29692;109243;8602;9477
2014;154858;25357;112989;7309;9203
2014;114622;21726;77213;6605;9078
2014;129334;22924;75035;9835;9035
2018;166913;29692;114395;7196;8932
2018;126025;24956;87950;4401;8718
2018;136341;26648;85642;7466;8640
2018;79220;15234;51004;4501;8481
2018;126011;26152;88121;3339;8399
2018;79213;15694;52387;2891;8241
2018;136341;26648;89012;6720;8217
2016;133038;25645;95727;3990;7676
2014;129334;22924;92212;6614;7584
2014;154858;25357;104184;9266;7213
2014;74819;12979;48270;6389;7181
2016;133038;25645;88757;5384;6312
2014;114622;21726;68921;6423;6226
2014;129334;22924;84866;8020;6112
2016;118905;25815;84447;2821;5822
2016;118905;25815;75661;4671;5741
2014;114622;21726;83486;4075;5335
2012;148070;22422;116629;3755;5264
2018;126025;24956;83676;5286;5133
2018;79220;15234;50605;4722;4944
2018;126025;24956;86774;4528;4885
2018;79220;15234;49854;4711;4799
2012;148070;22422;104684;6360;4624
2014;74819;12979;44162;6078;4583
2014;114622;21726;76319;5196;4495
2012;124414;20375;87482;4431;4321
2016;76938;14082;56160;2394;4302
2014;74819;12979;53337;4207;4296
2012;124414;20375;96996;2878;4165
2012;110306;21091;73149;4022;4144
2012;110306;21091;83296;2363;3556
2014;74819;12979;49275;5103;3351
2016;76938;14082;52579;3041;2990
2012;72650;10911;57670;1670;2399
2012;72650;10911;53260;2401;1496
